========== key size = 16, value size = 1024 ===========
Initializing RocksDB Options from the specified file
Initializing RocksDB Options from command-line flags
WARNING: Assertions are enabled; benchmarks unnecessarily slow
------------------------------------------------
DB path: [../mnt2]
readrandom   :      17.895 micros/op 55880 ops/sec;   55.4 MB/s (5000000 of 5000000 found)

Latency for percentile 0 : 0.000000
Latency for percentile 1 : 0.018260
Latency for percentile 2 : 0.036520
Latency for percentile 3 : 0.054779
Latency for percentile 4 : 0.073039
Latency for percentile 5 : 0.091299
Latency for percentile 6 : 0.109559
Latency for percentile 7 : 0.127819
Latency for percentile 8 : 0.146078
Latency for percentile 9 : 0.164338
Latency for percentile 10 : 0.182598
Latency for percentile 11 : 0.200858
Latency for percentile 12 : 0.219118
Latency for percentile 13 : 0.237377
Latency for percentile 14 : 0.255637
Latency for percentile 15 : 0.273897
Latency for percentile 16 : 0.292157
Latency for percentile 17 : 0.310417
Latency for percentile 18 : 0.328677
Latency for percentile 19 : 0.346936
Latency for percentile 20 : 0.365196
Latency for percentile 21 : 0.383456
Latency for percentile 22 : 0.401716
Latency for percentile 23 : 0.419976
Latency for percentile 24 : 0.438235
Latency for percentile 25 : 0.456495
Latency for percentile 26 : 0.474755
Latency for percentile 27 : 0.493015
Latency for percentile 28 : 0.511275
Latency for percentile 29 : 0.529534
Latency for percentile 30 : 0.547794
Latency for percentile 31 : 0.566054
Latency for percentile 32 : 0.584314
Latency for percentile 33 : 0.602574
Latency for percentile 34 : 0.620833
Latency for percentile 35 : 0.639093
Latency for percentile 36 : 0.657353
Latency for percentile 37 : 0.675613
Latency for percentile 38 : 0.693873
Latency for percentile 39 : 0.712132
Latency for percentile 40 : 0.730392
Latency for percentile 41 : 0.748652
Latency for percentile 42 : 0.766912
Latency for percentile 43 : 0.785172
Latency for percentile 44 : 0.803431
Latency for percentile 45 : 0.821691
Latency for percentile 46 : 0.839951
Latency for percentile 47 : 0.858211
Latency for percentile 48 : 0.876471
Latency for percentile 49 : 0.894731
Latency for percentile 50 : 0.912990
Latency for percentile 51 : 0.931250
Latency for percentile 52 : 0.949510
Latency for percentile 53 : 0.967770
Latency for percentile 54 : 0.986030
Latency for percentile 55 : 1.006343
Latency for percentile 56 : 1.033345
Latency for percentile 57 : 1.060347
Latency for percentile 58 : 1.087349
Latency for percentile 59 : 1.114351
Latency for percentile 60 : 1.141353
Latency for percentile 61 : 1.168355
Latency for percentile 62 : 1.195357
Latency for percentile 63 : 1.222359
Latency for percentile 64 : 1.249361
Latency for percentile 65 : 1.276363
Latency for percentile 66 : 1.303365
Latency for percentile 67 : 1.330367
Latency for percentile 68 : 1.357369
Latency for percentile 69 : 1.384371
Latency for percentile 70 : 1.411373
Latency for percentile 71 : 1.438375
Latency for percentile 72 : 1.465377
Latency for percentile 73 : 1.492379
Latency for percentile 74 : 1.519381
Latency for percentile 75 : 1.546383
Latency for percentile 76 : 1.573385
Latency for percentile 77 : 1.600387
Latency for percentile 78 : 1.627389
Latency for percentile 79 : 1.654391
Latency for percentile 80 : 1.681393
Latency for percentile 81 : 1.708395
Latency for percentile 82 : 1.735397
Latency for percentile 83 : 1.762399
Latency for percentile 84 : 1.789401
Latency for percentile 85 : 1.816403
Latency for percentile 86 : 1.843405
Latency for percentile 87 : 1.870407
Latency for percentile 88 : 1.897409
Latency for percentile 89 : 1.924411
Latency for percentile 90 : 1.951413
Latency for percentile 91 : 1.978415
Latency for percentile 92 : 2.314703
Latency for percentile 93 : 52.805927
Latency for percentile 94 : 59.589531
Latency for percentile 95 : 66.373135
Latency for percentile 96 : 73.156739
Latency for percentile 97 : 82.568799
Latency for percentile 98 : 93.877492
Latency for percentile 99 : 105.186185
Latency for percentile 100 : 497.073171
Latency for percentile 0 : 0.000000
Latency for percentile 1 : 0.016961
Latency for percentile 2 : 0.033922
Latency for percentile 3 : 0.050883
Latency for percentile 4 : 0.067844
Latency for percentile 5 : 0.084805
Latency for percentile 6 : 0.101766
Latency for percentile 7 : 0.118727
Latency for percentile 8 : 0.135688
Latency for percentile 9 : 0.152649
Latency for percentile 10 : 0.169610
Latency for percentile 11 : 0.186571
Latency for percentile 12 : 0.203532
Latency for percentile 13 : 0.220493
Latency for percentile 14 : 0.237454
Latency for percentile 15 : 0.254415
Latency for percentile 16 : 0.271376
Latency for percentile 17 : 0.288337
Latency for percentile 18 : 0.305298
Latency for percentile 19 : 0.322259
Latency for percentile 20 : 0.339220
Latency for percentile 21 : 0.356181
Latency for percentile 22 : 0.373142
